CITY,LATITUDE,LONGITUDE
New_Delhi,28.6139,77.209
Chandigarh,30.7333,76.7794
Shimla,31.1048,77.1734
Dehradun,30.3165,78.0322
Srinagar,34.0837,74.7973
Amritsar,31.634,74.8723
Jammu,32.7266,74.857
Ludhiana,30.9,75.8573
Agra,27.1767,78.0081
Meerut,28.9845,77.7064
Mumbai,19.076,72.8777
Pune,18.5204,73.8567
Ahmedabad,23.0225,72.5714
Jaipur,26.9124,75.7873
Jodhpur,26.2389,73.0243
Surat,21.1702,72.8311
Vadodara,22.3072,73.1812
Rajkot,22.3039,70.8022
Nashik,19.9975,73.7898
Udaipur,24.5854,73.7125
Chennai,13.0827,80.2707
Bengaluru,12.9716,77.5946
Hyderabad,17.385,78.4867
Kochi,9.9312,76.2673
Mysuru,12.2958,76.6394
Coimbatore,11.0168,76.9558
Madurai,9.9252,78.1198
Visakhapatnam,17.6868,83.2185
Mangalore,12.9141,74.856
Thiruvananthapuram,8.5241,76.9366
Kolkata,22.5726,88.3639
Bhubaneswar,20.2961,85.8245
Patna,25.5941,85.1376
Ranchi,23.3441,85.3096
Cuttack,20.4625,85.883
Durgapur,23.5204,87.3119
Asansol,23.6739,86.9524
Siliguri,26.7271,88.3953
Gaya,24.7914,85.0002
Muzaffarpur,26.1209,85.3647
Bhopal,23.2599,77.4126
Nagpur,21.1458,79.0882
Raipur,21.2514,81.6296
Indore,22.7196,75.8577
Jabalpur,23.1815,79.9864
Guwahati,26.1445,91.7362
Shillong,25.5788,91.8933
Agartala,23.8315,91.2868
Imphal,24.817,93.9368
Aizawl,23.7271,92.7176
